id,title,score,members,demographic,tags
8130,10 Nenme no Koi,,96,,
8140,Idolmaster Xenoglossia,,336,,"Sci-Fi, Mecha"
8142,Rental Magica from Solomon,,408,,"Action, Comedy, Fantasy, Supernatural"
8223,Issho ni Neyou yo,7.59,3738,Shoujo,"Comedy, Romance"
8239,Vampire Knight: Ice Blue Sin,7.63,4701,,"Romance, Supernatural, Vampire"
8404,Buttobi!! CPU,6.44,586,Seinen,"Comedy, Sci-Fi, Ecchi"
8439,Ano Ko to Boku no Ie,7.21,2594,Shoujo,"Comedy, Romance"
8446,Ikigami: The Ultimate Limit,7.78,25530,Seinen,"Action, Drama, Mystery, Suspense, Psychological"
8499,Rambo Sensei,,138,,"Action, Ecchi, School"
8578,Sumire wa Blue,6.92,1371,Shoujo,"Romance, Slice of Life"
8644,Just!!,,313,,"Boys Love, Comedy, Love Polygon, School"
8681,Milky Magic,,104,Shoujo,"Drama, Romance, Supernatural"
8727,Meru Meru Mail,7.16,1362,Shoujo,"Comedy, Romance, School"
8734,8,6.37,896,Seinen,"Drama, Supernatural, Psychological"
8779,Love at the Fingertip,6.53,333,Shoujo,"Drama, Romance"
8783,Majinou Gallon,,441,Shounen,"Action, Sci-Fi"
8794,Suki ja Nai,6.78,569,Shoujo,
8798,Uchi no Hide,6.44,519,,Slice of Life
8811,Koisuru Wakusei,6.49,762,Shoujo,Romance
8904,Exotic and Delicious Fate,6.95,981,,"Boys Love, Erotica"
8921,Overclock - Once in a Blue Moon -,,66,Shoujo,
8922,Clan of the Nakagamis - The Devil Cometh,,248,,"Boys Love, Comedy, Romance, Erotica"
8950,Hanamaru Kindergarten,7.43,3940,Seinen,"Comedy, Slice of Life, Childcare"
8953,The Boyfriend Next Door,6.98,1776,,"Boys Love, Slice of Life"
8976,Street Fighter: Sakura Gives it Her Best!; Street Fighter Sakura Ganbaru!,7.27,1229,,"Action, Martial Arts"
9041,Really? Really! Remember Memories,7.04,661,Shounen,"Comedy, Romance, Love Polygon, School"
9064,Kiss XXXX,,435,Shoujo,"Drama, Romance"
9145,Designer,,251,Shoujo,Romance
9147,Banana Bread no Pudding,6.36,1605,Shoujo,"Comedy, Drama, Psychological"
9161,"The secret butler; The Person That She Likes; Think Of You, Clavier; Would You Like To Adopt And Raise A Beauty?",7.16,3793,Shoujo,"Romance, School"
9172,Mosaic Rasen,,211,Shoujo,"Drama, Fantasy, Romance"
9173,Mesh,,278,Shoujo,"Drama, Psychological"
9199,Raspberry Crisis,6.15,460,,"Boys Love, Erotica"
9208,The Evolution of Angels,,121,Shoujo,"Drama, Romance, Sci-Fi"
9285,Sons of Eve,,287,,"Boys Love, Comedy, Historical"
9395,Erika's Season,,63,Shoujo,"Drama, Romance"
9548,Higurashi WHEN THEY CRY: Massacre Arc,8.29,12818,,"Drama, Horror, Mystery, Psychological"
9610,Kanojo ga Shinjatta.,,114,Seinen,"Romance, Ecchi"
9645,Monkey Strip,6.38,576,Josei,Ecchi
9699,Classmates,8.29,43517,,"Boys Love, Slice of Life, School"
9706,Fukufuku Fu-nya~n,,309,Josei,"Adventure, Comedy, Slice of Life, Pets"
9719,Ryuurouden: Chuugen Ryouran-hen,7.42,449,Shounen,"Action, Historical, Time Travel"
9751,Jinrui Nekoka,6.82,411,Shounen,"Comedy, Romance, Slice of Life"
9865,Monzetsu Caligula Machine,6.64,478,,Hentai
9872,Aji Ichi Monme,,178,Seinen,"Award Winning, Comedy, Drama, Gourmet, Slice of Life, Historical"
9919,Flash Bang!,,204,,Hentai
9922,Renai Complex,,196,,Hentai
9979,Yowaito Nikki,6.78,1134,Shoujo,"Action, Adventure, Samurai"
